1,2
2,2
1,3
1,1
2,3
1,4
2,4
1,5
2,5
1,6
2,6
1,7
2,7
1,8
2,8
1,9
2,9
1,10
2,10
1,11
2,11
1,12
2,12
1,13
2,13
1,14
2,14
1,15
2,15
1,16
2,16
1,17
2,17
1,18
2,18
1,19
2,19
1,20
2,20
1,21
2,21
1,22
2,22
1,23
2,23
1,24
2,24
1,25
2,25
1,26
2,26
1,27
2,27
1,28
2,28
3,2
3,26
3,27
3,28
4,2
4,26
4,27
4,28
5,2
4,3
5,3
4,4
5,4
4,5
5,5
4,6
5,6
4,7
5,7
4,8
5,8
4,9
5,9
4,10
5,10
4,11
5,11
4,12
5,12
4,13
5,13
4,14
5,14
4,15
5,15
4,16
5,16
4,17
5,17
4,18
5,18
4,19
5,19
4,20
5,20
4,21
5,21
4,22
5,22
4,23
5,23
4,24
5,24
5,26
5,27
5,28
6,2
6,3
6,4
6,5
6,6
6,7
6,8
6,9
6,10
6,11
6,12
6,13
6,14
6,15
6,16
6,17
6,18
6,19
6,20
6,21
6,22
6,23
6,24
6,26
6,27
6,28
7,2
7,3
7,4
7,5
7,6
7,7
7,8
7,9
7,10
7,11
7,12
7,13
7,14
7,15
7,16
7,17
7,18
7,19
7,20
7,21
7,22
7,23
7,24
7,26
7,27
7,28
8,2
8,3
8,4
8,5
8,6
8,7
8,8
8,9
8,10
8,11
8,12
8,13
8,14
8,15
8,16
8,17
8,18
8,19
8,20
8,21
8,22
8,23
8,24
8,26
8,27
8,28
9,2
9,3
9,4
9,5
9,6
9,7
9,8
9,9
9,10
9,11
9,12
9,13
9,14
9,15
9,16
9,17
9,18
9,19
9,20
9,21
9,22
9,23
9,24
9,26
9,27
9,28
10,2
10,3
10,4
10,5
10,6
10,7
10,8
10,9
10,10
10,11
10,12
10,13
10,14
10,15
10,16
10,17
10,18
10,19
10,20
10,21
10,22
10,23
10,24
10,26
10,27
10,28
11,2
10,1
11,3
11,4
11,5
11,6
11,7
11,8
11,9
11,10
11,11
11,12
11,13
11,14
11,15
11,16
11,17
11,18
11,19
11,20
11,21
11,22
11,23
11,24
11,26
11,27
11,28
11,1
